extended,latitude,longitude,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,individual,weaptype1,nkill,property,ishostkid,gname
0,33.534235,65.000854,0,0.0,1,0,2,3,1981,0,5,1.0,0,0.0,Taliban
0,-11.967368,-76.978462,0,1.0,1,0,3,1,4754,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
0,-11.967368,-76.978462,0,1.0,1,0,3,1,765,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
0,-32.985771,27.866086,0,0.0,0,0,3,21,338,0,6,0.0,1,0.0,African National Congress (South Africa)
0,31.126646,33.800865,1,1.0,1,0,3,6,355,0,6,1.0,0,0.0,Muslim extremists
0,36.201721,37.14352,0,0.0,1,0,3,4,3053,0,6,5.0,1,0.0,Muslim extremists
0,7.86797,8.09553,0,1.0,1,0,2,14,27,0,5,3.0,0,0.0,Fulani extremists
0,13.723925,-88.089839,0,0.0,1,0,1,2,1828,0,5,1.0,0,0.0,Farabundo Marti National Liberation Front (FMLN)
0,7.022091,-71.385222,0,0.0,0,0,3,20,6,0,6,0.0,0,0.0,National Liberation Army of Colombia (ELN)
0,33.303566,44.371773,0,1.0,1,1,3,14,13,0,6,6.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
0,-33.366238,-70.505302,0,0.0,1,0,3,14,2789,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
0,48.143208,37.753361,0,1.0,1,0,2,4,1715,0,6,0.0,-9,0.0,Donetsk People's Republic
0,7.689167,9.250278,0,1.0,1,0,2,14,27,0,5,1.0,1,0.0,Fulani extremists
0,13.304902,-86.186265,0,0.0,1,0,2,2,3586,0,8,0.0,1,0.0,Nicaraguan Democratic Force (FDN)
0,12.267322,-85.382162,0,0.0,1,0,2,4,562,0,5,0.0,1,0.0,Nicaraguan Democratic Force (FDN)
0,31.105773,29.764839,0,0.0,1,0,2,15,1211,0,5,0.0,0,0.0,Muslim extremists
1,6.050458,121.012245,0,0.0,1,0,6,14,31,0,5,0.0,0,1.0,Abu Sayyaf Group (ASG)
0,36.719648,-4.420016,0,0.0,1,0,3,3,1079,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
0,23.887562,84.799711,0,0.0,1,0,2,14,1471,0,8,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
0,1.704184,44.692946,0,0.0,1,0,3,4,577,0,6,2.0,-9,0.0,Al-Shabaab
0,36.833508,38.000553,1,0.0,1,0,3,4,2295,0,6,0.0,1,0.0,Islamic State of Iraq and the Levant (ISIL)
0,31.633979,74.872264,0,0.0,1,0,1,1,1944,0,5,1.0,0,0.0,Sikh Extremists
0,34.006004,71.53743,1,0.0,1,0,2,3,4664,0,5,1.0,0,0.0,Tehrik-i-Taliban Pakistan (TTP)
0,37.340288,41.892628,1,0.0,1,0,2,19,549,0,5,3.0,1,0.0,Kurdistan Workers' Party (PKK)
0,48.434017,38.221252,1,0.0,1,0,3,14,205,0,6,0.0,1,0.0,Donetsk People's Republic
0,-29.861824,31.008293,0,0.0,1,0,3,21,392,0,6,3.0,1,0.0,African National Congress (South Africa)
0,54.377802,-7.459455,0,0.0,1,0,3,3,1068,0,6,0.0,1,0.0,Irish Republican Army (IRA)
0,6.482905,122.015549,0,0.0,1,0,2,4,0,0,5,0.0,-9,0.0,Abu Sayyaf Group (ASG)
0,7.08582,-70.75779,0,0.0,1,0,3,15,3163,0,6,1.0,-9,0.0,National Liberation Army of Colombia (ELN)
1,47.981647,37.762325,0,0.0,1,0,6,14,1716,0,5,0.0,0,1.0,Donetsk People's Republic
0,33.538588,74.369286,0,0.0,1,0,3,14,3104,0,6,2.0,-9,0.0,Muslim extremists
0,6.066797,121.09839,0,0.0,1,0,2,4,50,0,9,1.0,0,0.0,Abu Sayyaf Group (ASG)
1,18.139245,81.852386,0,1.0,1,0,6,14,2862,0,5,1.0,0,1.0,Maoists
1,6.929089,122.07885,0,0.0,1,0,6,1,135,0,5,1.0,0,1.0,Abu Sayyaf Group (ASG)
